自動,じどう,tự động
種類,しゅるい,chủng loại loại
性格,せいかく,tính cách
性質,せいしつ,tính chất đặc tính
順番,じゅんばん,thứ tự lần lượt
番,ばん,lượt phiên
方法,ほうほう,phương pháp cách thức
製品,せいひん,sản phẩm
値上がり,ねあがり,tăng giá
生,なま,sống tươi (chưa qua chế biến)
渇く,かわく,khát (nước)
嗅ぐ,かぐ,ngửi
叩く,たたく,đánh đập vỗ
殴る,なぐる,đấm
蹴る,ける,đá
抱く,だく,ôm bế
倒れる,たおれる,đổ ngã gục ngã lâm bệnh
倒す,たおす,làm đổ đánh bại
起きる,おきる,dậy thức dậy
起こる,おこる,xảy ra phát sinh
起こす,おこす,đánh thức dựng dậy gây ra
尋ねる,たずねる,hỏi hỏi thăm
呼ぶ,よぶ,gọi kêu thu hút
叫ぶ,さけぶ,kêu gào la hét
黙る,だまる,im lặng làm thinh
飼う,かう,nuôi (thú cưng)
数える,かぞえる,đếm liệt kê
乾く,かわく,khô
乾かす,かわかす,làm khô sấy khô
畳む,たたむ,gấp xếp
誘う,さそう,rủ mời
おごる,おごる,chiêu đãi khao
預かる,あずかる,giữ trông nom chăm sóc (giùm)
預ける,あずける,gửi giao phó
決まる,きまる,được quyết định được xác định được làm hoàn hảo
決める,きめる,quyết định luôn làm làm hoàn hảo
写る,うつる,chụp được (ảnh) hiện lên (ảnh)
写す,うつす,chụp (ảnh) sao chép
思い出す,おもいだす,nhớ lại hồi tưởng
教わる,おそわる,được dạy học (từ ai đó)
申し込む,もうしこむ,đăng ký đề nghị
断る,ことわる,từ chối. xin phép
見つかる,みつかる,được tìm thấy. bị phát hiện
見つける,みつける,tìm thấy. tìm ra
捕まる,つかまる,bị bắt. nắm chặt
捕まえる,つかまえる,bắt. tóm
乗る,のる,lên (xe). đi (phương tiện)
乗せる,のせる,chở đi. cho lên xe
降りる,おりる,xuống (xe. tàu). đi xuống
下りる,おりる,đi xuống. hạ xuống. được cấp phép
降ろす,おろす,cho xuống (xe). hạ xuống. lấy ra (đồ)
下ろす,おろす,hạ xuống. rút (tiền)
直る,なおる,được sửa chữa. cải thiện (thói quen)
直す,なおす,sửa chữa .chỉnh sửa. dịch
治る,なおる,khỏi bệnh .lành (vết thương)
治す,なおす,chữa bệnh .làm cho khỏi
亡くなる,なくなる,chết. qua đời
亡くす,なくす,mất (người thân)
生まれる,うまれる,được sinh ra. ra đời
産む,うむ,đẻ. sinh (con)
生む,うむ,tạo ra. sản sinh ra
出会う,であう,gặp gỡ (tình cờ). hội ngộ
訪ねる,たずねる,đến thăm. viếng thăm
付き合う,つきあう,kết giao. giao du. hẹn hò
効く,きく,có hiệu quả/có tác dụng
はやる,はやる,thịnh hành/phổ biến/(dịch bệnh) lây lan
経つ,たつ,trôi qua/trải qua (thời gian)
間に合う,まにあう,kịp giờ/vừa đủ
間に合わせる,まにあわせる,làm cho kịp giờ/hoàn thành đúng hạn
通う,かよう,đi lại thường xuyên (học/làm)/hiểu (tâm tư)
混む,こむ,đông đúc
擦れ違う,すれちがう,đi lướt qua nhau/lệch nhau/không gặp được
掛かる,かかる,được phủ/tốn (thời gian/tiền)/mắc (bệnh)/khởi động (động cơ)
掛ける,かける,phủ lên/dành (thời gian)/khởi động/nhân (số)
動く,うごく,di chuyển/hoạt động/làm việc (máy móc)/hành động
動かす,うごかす,di chuyển/làm cho hoạt động/vận hành/lay động
離れる,はなれる,cách xa/rời xa/chênh lệch (tuổi)
離す,はなす,tách ra/buông ra/để xa ra
ぶつかる,ぶつかる,va chạm/xung đột/trùng (lịch)
ぶつける,ぶつける,đâm vào/va vào
こぼれる,こぼれる,bị đổ/bị tràn ra/(nước mắt) rơi
こぼす,こぼす,làm đổ/làm tràn/đánh rơi (nước mắt)
拭く,ふく,lau/chùi
片付く,かたづく,được dọn dẹp ngăn nắp/được giải quyết xong
片付ける,かたづける,dọn dẹp/giải quyết
包む,つつむ,bọc/gói
貼る,はる,dán
無くなる,なくなる,bị mất/hết
無くす,なくす,làm mất
足りる,たりる,đủ
残る,のこる,còn lại/sót lại
残す,のこす,để lại/chừa lại
腐る,くさる,thiu/hỏng/mục nát
むける,むける,bóc ra/lột ra (da)
むく,むく,bóc/lột (vỏ)
滑る,すべる,trượt (patin/tuyết)/trơn trượt
積もる,つもる,tích tụ/chất đống (tuyết/bụi)
積む,つむ,chất lên/xếp lên/tích lũy (kinh nghiệm)
空く,あく,thủng (lỗ)/trống (chỗ)/rảnh (thời gian)
空ける,あける,đục (lỗ)/để trống (chỗ)/dành (thời gian)
下がる,さがる,hạ xuống/giảm xuống/lùi lại
下げる,さげる,hạ xuống/làm giảm/mang đi (đồ ăn)
冷える,ひえる,lạnh đi/cảm thấy lạnh
冷やす,ひやす,làm lạnh/giữ bình tĩnh
冷める,さめる,nguội đi/mất đi (nhiệt huyết/đam mê)
冷ます,さます,làm nguội/để nguội
燃える,もえる,cháy/bừng cháy (đam mê)
燃やす,もやす,đốt cháy/thắp lên (đam mê)
